Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [CHIVI],Price [CHIVI],In stock [CHIVI],Low stock [CHIVI]
frites-alloco-poisson,10026,Frites Alloco Poisson,NOS PRODUITS,<p>Frites: 342 Alloco 168 Plat 157 Poisson silivi 500 = 1167</p>,N,,,,,,,1167,,,,N,Y,1500,,
frites-alloco-chivi,10010,Frites Alloco Poulet Mayo Chivi,NOS PRODUITS,"<p>Poulet mayo (Poulet 730 Mayo 200 Tomate 25 Poivron 50, Oignon 25 Cube 10 Sel 10 Poivre 10) 1060 Frites: 342 Alloco 168 Plat 157 = 1727</p>",N,,,,,,,1727,,,,N,Y,2500,,
friture-attassi,10027,Friture Attassi,STOCKS,<p>Cout de production 2600Estimation prix par plat 100f</p>,Y,,,,,,,100,,,,N,Y,100,,
fromage,10042,Fromage,,,N,,,,,,,0,,,,N,Y,100,,
fromage-atassi,10034,Fromage Atassi,STOCKS,,N,,,,,,,65,,,,N,Y,variable,,
"gboman-avec-kpanman,-fromage-et-poisson",10064,"Gboman avec Kpanman, fromage, Goussi et Poisson",NOS PRODUITS,"<p>Sauce gboman savoureuse, accompagn&eacute;e de kpanman (peau de b&oelig;uf), fromage, goussi et poisson.Un plat riche et g&eacute;n&eacute;reux. Accompagnement au choix: P&acirc;te Noire ou P&acirc;te de Ma&iuml;s.</p><p>COUT DE PRODUCTIONL&eacute;gumes 150 Friture goussi 400 Poisson 600 P&acirc;te 200 Fromage 200 Peau de boeuf 100 Plat emport&eacute; de 80 et 45 = 125 cuill&egrave;re et bol piment 30 Sac 20</p>",N,,,,,,,1767,,,,N,Y,2500,,
haricot-1000f,10067,Haricot 1000f,NOS PRODUITS,<p>Haricots plus friture 300 G&eacute;siers 200 Gari 25f Poivron et carottes 100f Plats: 80F Cuillere etbol piment 30 sachet 10f TOTAL 745</p>,N,,,,,,,745,,,,N,Y,1000,,
haricots,10031,Haricots,STOCKS,,N,,,,,,,50,,,,N,Y,variable,,
haricots-1500,10068,Haricots 1500,NOS PRODUITS,<p>Haricots plus friture 300 G&eacute;siers 200 Gari 25f Poivron et carottes 100f Alloco 166 Demi Poisson 200 Plats: 80F Cuillere etbol piment 30 sachet 10f TOTAL 1111</p>,N,,,,,,,1111,,,,N,Y,1500,,
huile-d’arachide-d’agonlin,10002,Huile d’arachide d’Agonlin,STOCKS,,N,,,,,,,31000,,,,N,Y,variable,,
jus-akassa-aileron,10074,Jus Akassa Aileron,NOS PRODUITS,<p>Tomate 100 Oignon 50 &nbsp;Cube et sel 25 Piment 50 Poivron 100 Huile 100 Akassa 100 Aileron 900 &nbsp;Plat 80 Cuillere et bol 30 Sachet 10 TOTAL: 1545</p>,N,,,,,,,1550,,,,N,Y,2500,,
jus-akassa-poisson-bar,10072,Jus Akassa Poisson Bar,NOS PRODUITS,<p>Tomate 100 Oignon 50 &nbsp;Cube et sel 25 Piment 50 Poivron 100 Huile 100 Akassa 100 Poisson Bar 650 &nbsp;Plat 80 Cuillere et bol 30 Sachet 10 TOTAL: 1295</p>,N,,,,,,,1300,,,,N,Y,2000,,
jus-akassa-silivi,10073,Jus Akassa Silivi,NOS PRODUITS,<p>Tomate 100 Oignon 50 &nbsp;Cube et sel 25 Piment 50 Poivron 100 Huile 100 Akassa 100 Poisson Silivi 600 &nbsp;Plat 80 Cuillere et bol 30 Sachet 10 TOTAL: 1245</p>,N,,,,,,,1300,,,,N,Y,2000,,
"jus-bissap-0,5l",10055,"Jus Bissap 0,5L",NOS PRODUITS,"<p>Cout de production Bissap 2100 (Hibiscus 500 sucre 1000, menthe 200, arome 300 charbon 100)Boites Bouteille 90F TOTAL 2190 Donnant 14 Bouteilles&nbsp;</p>",N,,,,,,,157,,,,N,Y,500,,
jus-d'ananas,10063,Jus d'ananas,NOS PRODUITS,<p>Ananas 250 Bouteille 90</p>,N,,,,,,,340,,,,N,Y,1000,,
